codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
91,Amazonas,17,97.88,19,111.4,36,104.58
91|001,Leticia,17,198.55,19,230.86,36,214.39
5,Antioquia,427,43.73,509,54.59,936,49.04
5|002,Abejorral,3,99.97,1,35.61,4,68.86
5|031,Amalfi,3,72.25,4,101.19,7,86.37
5|034,Andes,6,76.19,6,80.62,12,78.34
5|04,Anorí,1,32.2,4,139.66,5,83.75
5|045,Apartadó,1,2.6,0,0,1,1.33
5|079,Barbosa,4,46.58,8,97.34,12,71.4
5|088,Bello,20,28.49,35,50.92,55,39.58
5|125,Caicedo,0,0,3,197.76,3,92.91
5|129,Caldas,5,45.87,4,38.28,9,42.16
5|154,Caucasia,2,9.25,3,14.22,5,11.71
5|172,Chigorodó,1,6.31,0,0,1,3.18
5|19,Cisneros,0,0,1,77.4,1,37.41
5|101,Ciudad Bolívar,1,21.32,1,22.41,2,21.85
5|197,Cocorná,0,0,2,92.12,2,45.36
5|209,Concordia,2,51.45,4,111.23,6,80.18
5|212,Copacabana,5,52.64,16,177.68,21,113.49
5|237,Donmatías,1,24.94,0,0,1,12.75
5|24,Ebéjico,2,94.79,1,49.7,3,72.78
5|148,El Carmen de Viboral,2,23.21,3,36.88,5,29.85
5|697,El Santuario,1,24.25,0,0,1,12.49
5|266,Envigado,8,25.79,13,44.05,21,34.69
5|282,Fredonia,0,0,1,30.88,1,15.12
5|306,Giraldo,1,140.25,1,148.15,2,144.09
5|308,Girardota,2,22.79,1,11.71,3,17.33
5|31,Gómez Plata,2,99.7,1,51.73,3,76.16
5|318,Guarne,21,253.44,28,355.96,49,303.37
5|36,Itagüí,24,62.14,24,64.04,48,63.08
5|361,Ituango,5,110.99,3,68.74,8,90.2
5|364,Jardín,1,42.05,0,0,1,21.83
5|368,Jericó,1,52.83,0,0,1,26.8
5|376,La Ceja,9,106.24,6,73.48,15,90.17
5|38,La Estrella,4,41.78,4,43.49,8,42.62
5|44,Marinilla,1,10.28,0,0,1,5.26
5|001,Medellín,244,86.7,275,102.16,519,94.26
5|48,Mutatá,1,24.55,0,0,1,12.59
5|541,Peñol,1,36.82,1,38.02,2,37.41
5|579,Puerto Berrío,1,12.82,1,13.27,2,13.04
5|591,Puerto Triunfo,1,26.33,0,0,1,13.79
5|604,Remedios,2,36,0,0,2,18.73
5|607,Retiro,0,0,2,68.97,2,33.48
5|615,Rionegro,11,58.57,17,94.94,28,76.32
5|631,Sabaneta,2,35.59,1,18.11,3,26.93
5|642,Salgar,3,91.27,8,264.29,11,174.22
5|649,San Carlos,3,112.82,2,81.1,5,97.56
5|66,San Luis,3,154,0,0,3,81.86
5|67,San Roque,1,33.6,1,35.22,2,34.39
5|042,Santa Fé de Antioquia,1,22.19,2,47.81,3,34.52
5|686,Santa Rosa de Osos,1,16.3,2,34.61,3,25.18
5|69,Santo Domingo,0,0,1,58.86,1,28.38
5|736,Segovia,0,0,1,13.91,1,6.72
5|756,Sonsón,2,34.89,5,91.24,7,62.43
5|79,Tarazá,1,10.22,0,0,1,5.24
5|837,Turbo,7,20.37,5,15.09,12,17.78
5|847,Urrao,0,0,1,13.11,1,6.24
5|861,Venecia,0,0,1,55.49,1,26.6
5|887,Yarumal,3,33.84,5,59.07,8,46.16
81,Arauca,59,101.82,67,119.44,126,110.49
81|001,Arauca,36,184.55,44,227.48,80,205.93
81|065,Arauquita,4,43.67,3,33.9,7,38.87
81|22,Cravo Norte,0,0,1,139.66,1,69.4
81|3,Fortul,0,0,7,125,7,62.43
81|591,Puerto Rondón,1,117.92,0,0,1,60.68
81|736,Saravena,6,57.01,4,39.49,10,48.42
81|794,Tame,12,103.73,8,75.03,20,89.97
88,San Andrés (P y S.Cat),8,68.43,5,44.69,13,56.83
88|001,San Andrés,8,73.27,5,47.76,13,60.78
8,Atlántico,124,31.17,189,49.74,313,40.24
8|078,Baranoa,2,21.42,4,44.77,6,32.84
8|001,Barranquilla,77,42.32,116,66.47,193,54.14
8|296,Galapa,0,0,2,26.55,2,12.82
8|372,Juan de Acosta,2,69.01,0,0,2,36.56
8|421,Luruaco,1,20.28,0,0,1,10.36
8|433,Malambo,9,41.89,16,78.4,25,59.67
8|558,Polonuevo,1,39.94,1,42.66,2,41.25
8|56,Ponedera,1,23.65,1,25.02,2,24.31
8|573,Puerto Colombia,1,24.17,1,27.02,2,25.51
8|634,Sabanagrande,2,38.95,1,20.21,3,29.76
8|638,Sabanalarga,2,11.18,4,23.89,6,17.32
8|758,Soledad,26,24.49,43,42.13,69,33.14
11,Bogotá D.C.,1732,154.78,1741,163.17,3473,158.88
11|001,Bogotá D.C.,1732,154.78,1741,163.17,3473,158.88
13,Bolívar,78,20.79,78,21.67,156,21.22
13|042,Arenal,0,0,1,25.52,1,12.24
13|052,Arjona,0,0,2,15.14,2,7.43
13|001,Cartagena de Indias,49,31.01,42,27.21,91,29.13
13|222,Clemencia,0,0,1,41.51,1,19.66
13|244,El Carmen de Bolívar,11,69.36,9,60.7,20,65.17
13|268,El Peñón,0,0,1,52.44,1,25.04
13|43,Magangué,10,44.22,14,65.14,24,54.41
13|442,María la Baja,1,10.03,0,0,1,5.2
13|654,San Jacinto,1,26.93,2,57.42,3,41.68
13|657,San Juan Nepomuceno,4,69.07,1,18.19,5,44.29
13|673,Santa Catalina,0,0,1,39.62,1,19.49
13|836,Turbaco,1,8.53,4,35.28,5,21.68
13|838,Turbaná,1,32.58,0,0,1,16.73
15,Boyacá,170,80.56,197,98.95,367,89.49
15|022,Almeida,1,378.79,1,392.16,2,385.36
15|047,Aquitania,0,0,1,36.13,1,17.6
15|087,Belén,0,0,1,95.69,1,46.38
15|172,Chinavita,0,0,1,206.19,1,98.91
15|176,Chiquinquirá,8,68.73,12,111.98,20,89.47
15|236,Chivor,1,294.99,1,340.14,2,315.96
15|204,Cómbita,0,0,1,62.74,1,29.82
15|238,Duitama,19,108.58,22,124.53,41,116.6
15|272,Firavitoba,1,117.92,0,0,1,61.5
15|276,Floresta,0,0,1,163.93,1,79.37
15|299,Garagoa,10,351.37,11,391.74,21,371.42
15|322,Guateque,2,141.14,1,80.39,3,112.74
15|362,Iza,1,310.56,0,0,1,164.2
15|38,La Capilla,0,0,1,310.56,1,151.06
15|377,Labranzagrande,1,136.61,0,0,1,72.15
15|425,Macanal,0,0,3,415.51,3,204.64
15|442,Maripí,2,136.71,0,0,2,71.3
15|466,Monguí,0,0,1,120.92,1,60.64
15|469,Moniquirá,0,0,2,62.87,2,30.53
15|491,Nobsa,1,35.95,1,38.12,2,37
